# Copyright (C) 1991-2014 Altera Corporation. All rights reserved.
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, the Altera Quartus II License Agreement,
# the Altera MegaCore Function License Agreement, or other 
# applicable license agreement, including, without limitation, 
# that your use is for the sole purpose of programming logic 
# devices manufactured by Altera and sold by Altera or its 
# authorized distributors.  Please refer to the applicable 
# agreement for further details.

# Quartus II 64-Bit Version 14.1.0 Build 186 12/03/2014 SJ Web Edition
# File: C:\Users\Paul\Desktop\M68k.csv
# Generated on: Sat Oct 03 16:45:25 2015

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Fitter Location,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
VGA_R[1],Output,PIN_C13,8A,B8A_N0,3.3-V LVTTL,,,PIN_C13,,,,,,,,,,,
VGA_R[0],Output,PIN_A13,8A,B8A_N0,3.3-V LVTTL,,,PIN_A13,,,,,,,,,,,
VGA_SYNC_N,Output,PIN_C10,8A,B8A_N0,3.3-V LVTTL,,,PIN_C10,,,,,,,,,,,
VGA_VS,Output,PIN_D11,8A,B8A_N0,3.3-V LVTTL,,,PIN_D11,,,,,,,,,,,
ADC_CS_N,Unknown,PIN_AJ4,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,,
ADC_DIN,Unknown,PIN_AK4,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,,
ADC_DOUT,Unknown,PIN_AK3,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,,
ADC_SCLK,Unknown,PIN_AK2,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,,
AUD_ADCDAT,Unknown,PIN_K7,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,,
AUD_ADCLRCK,Unknown,PIN_K8,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,,
AUD_BCLK,Unknown,PIN_H7,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,,
AUD_DACDAT,Unknown,PIN_J7,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,,
AUD_DACLRCK,Unknown,PIN_H8,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,,
AUD_XCK,Unknown,PIN_G7,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,,
CLOCK2_50,Unknown,PIN_AA16,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,,
CLOCK3_50,Unknown,PIN_Y26,5B,B5B_N0,3.3-V LVTTL,,,,,,,,,,,,,,
CLOCK4_50,Unknown,PIN_K14,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,,
FAN_CTRL,Unknown,PIN_AA12,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,,
FPGA_I2C_SCLK,Unknown,PIN_J12,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,,
FPGA_I2C_SDAT,Unknown,PIN_K12,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,,
IRDA_RXD,Unknown,PIN_AA30,5B,B5B_N0,3.3-V LVTTL,,,,,,,,,,,,,,
IRDA_TXD,Unknown,PIN_AB30,5B,B5B_N0,3.3-V LVTTL,,,,,,,,,,,,,,
PS2_CLK,Unknown,PIN_AD7,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,,
PS2_DAT,Unknown,PIN_AE7,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,,
PS2_CLK2,Unknown,PIN_AD9,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,,
PS2_DAT2,Unknown,PIN_AE9,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,,
TD_CLK27,Unknown,PIN_H15,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,,
TD_DATA[0],Unknown,PIN_D2,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,,
TD_DATA[1],Unknown,PIN_B1,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,,
TD_DATA[2],Unknown,PIN_E2,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,,
TD_DATA[3],Unknown,PIN_B2,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,,
TD_DATA[4],Unknown,PIN_D1,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,,
TD_DATA[5],Unknown,PIN_E1,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,,
TD_DATA[6],Unknown,PIN_C2,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,,
TD_DATA[7],Unknown,PIN_B3,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,,
TD_HS,Unknown,PIN_A5,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,,
TD_RESET_N,Unknown,PIN_F6,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,,
TD_VS,Unknown,PIN_A3,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,,
USB_B2_CLK,Unknown,PIN_AF4,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,,
USB_B2_DATA[0],Unknown,PIN_AH4,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,,
USB_B2_DATA[1],Unknown,PIN_AH3,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,,
USB_B2_DATA[2],Unknown,PIN_AJ2,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,,
USB_B2_DATA[3],Unknown,PIN_AJ1,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,,
USB_B2_DATA[4],Unknown,PIN_AH2,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,,
USB_B2_DATA[5],Unknown,PIN_AG3,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,,
USB_B2_DATA[6],Unknown,PIN_AG2,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,,
USB_B2_DATA[7],Unknown,PIN_AG1,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,,
USB_EMPTY,Unknown,PIN_AF5,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,,
USB_FULL,Unknown,PIN_AG5,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,,
USB_OE_N,Unknown,PIN_AF6,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,,
USB_RD_N,Unknown,PIN_AG6,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,,
USB_RESET_N,Unknown,PIN_AG7,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,,
USB_SCL,Unknown,PIN_AG8,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,,
USB_SDA,Unknown,PIN_AF8,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,,
USB_WR_N,Unknown,PIN_AH5,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_CONV_USB_N,Unknown,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_DDR3_ADDR[0],Unknown,,,,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,,
HPS_DDR3_ADDR[1],Unknown,,,,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,,
HPS_DDR3_ADDR[2],Unknown,,,,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,,
HPS_DDR3_ADDR[3],Unknown,,,,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,,
HPS_DDR3_ADDR[4],Unknown,,,,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,,
HPS_DDR3_ADDR[5],Unknown,,,,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,,
HPS_DDR3_ADDR[6],Unknown,,,,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,,
HPS_DDR3_ADDR[7],Unknown,,,,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,,
HPS_DDR3_ADDR[8],Unknown,,,,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,,
HPS_DDR3_ADDR[9],Unknown,,,,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,,
HPS_DDR3_ADDR[10],Unknown,,,,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,,
HPS_DDR3_ADDR[11],Unknown,,,,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,,
HPS_DDR3_ADDR[12],Unknown,,,,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,,
HPS_DDR3_ADDR[13],Unknown,,,,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,,
HPS_DDR3_ADDR[14],Unknown,,,,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,,
HPS_DDR3_BA[0],Unknown,,,,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,,
HPS_DDR3_BA[1],Unknown,,,,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,,
HPS_DDR3_BA[2],Unknown,,,,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,,
HPS_DDR3_CAS_N,Unknown,,,,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,,
HPS_DDR3_CKE,Unknown,,,,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,,
HPS_DDR3_CK_N,Unknown,,,,Differential 1.5-V SSTL Class I,,,,,HPS_DDR3_CK_N(n),,,,,,,,,
HPS_DDR3_CK_N(n),Unknown,,,,Differential 1.5-V SSTL Class I,,,,,HPS_DDR3_CK_N,,,,,,,,,
HPS_DDR3_CK_P,Unknown,,,,Differential 1.5-V SSTL Class I,,,,,HPS_DDR3_CK_P(n),,,,,,,,,
HPS_DDR3_CK_P(n),Unknown,,,,Differential 1.5-V SSTL Class I,,,,,HPS_DDR3_CK_P,,,,,,,,,
HPS_DDR3_CS_N,Unknown,,,,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,,
HPS_DDR3_DM[0],Unknown,,,,SSTL-15 Class I,,,,,,,,,,,,,,
HPS_DDR3_DM[1],Unknown,,,,SSTL-15 Class I,,,,,,,,,,,,,,
HPS_DDR3_DM[2],Unknown,,,,SSTL-15 Class I,,,,,,,,,,,,,,
HPS_DDR3_DM[3],Unknown,,,,SSTL-15 Class I,,,,,,,,,,,,,,
HPS_DDR3_DQ[0],Unknown,,,,SSTL-15 Class I,,,,,,,,,,,,,,
HPS_DDR3_DQ[1],Unknown,,,,SSTL-15 Class I,,,,,,,,,,,,,,
HPS_DDR3_DQ[2],Unknown,,,,SSTL-15 Class I,,,,,,,,,,,,,,
HPS_DDR3_DQ[3],Unknown,,,,SSTL-15 Class I,,,,,,,,,,,,,,
HPS_DDR3_DQ[4],Unknown,,,,SSTL-15 Class I,,,,,,,,,,,,,,
HPS_DDR3_DQ[5],Unknown,,,,SSTL-15 Class I,,,,,,,,,,,,,,
HPS_DDR3_DQ[6],Unknown,,,,SSTL-15 Class I,,,,,,,,,,,,,,
HPS_DDR3_DQ[7],Unknown,,,,SSTL-15 Class I,,,,,,,,,,,,,,
HPS_DDR3_DQ[8],Unknown,,,,SSTL-15 Class I,,,,,,,,,,,,,,
HPS_DDR3_DQ[9],Unknown,,,,SSTL-15 Class I,,,,,,,,,,,,,,
HPS_DDR3_DQ[10],Unknown,,,,SSTL-15 Class I,,,,,,,,,,,,,,
HPS_DDR3_DQ[11],Unknown,,,,SSTL-15 Class I,,,,,,,,,,,,,,
HPS_DDR3_DQ[12],Unknown,,,,SSTL-15 Class I,,,,,,,,,,,,,,
HPS_DDR3_DQ[13],Unknown,,,,SSTL-15 Class I,,,,,,,,,,,,,,
HPS_DDR3_DQ[14],Unknown,,,,SSTL-15 Class I,,,,,,,,,,,,,,
HPS_DDR3_DQ[15],Unknown,,,,SSTL-15 Class I,,,,,,,,,,,,,,
HPS_DDR3_DQ[16],Unknown,,,,SSTL-15 Class I,,,,,,,,,,,,,,
HPS_DDR3_DQ[17],Unknown,,,,SSTL-15 Class I,,,,,,,,,,,,,,
HPS_DDR3_DQ[18],Unknown,,,,SSTL-15 Class I,,,,,,,,,,,,,,
HPS_DDR3_DQ[19],Unknown,,,,SSTL-15 Class I,,,,,,,,,,,,,,
HPS_DDR3_DQ[20],Unknown,,,,SSTL-15 Class I,,,,,,,,,,,,,,
HPS_DDR3_DQ[21],Unknown,,,,SSTL-15 Class I,,,,,,,,,,,,,,
HPS_DDR3_DQ[22],Unknown,,,,SSTL-15 Class I,,,,,,,,,,,,,,
HPS_DDR3_DQ[23],Unknown,,,,SSTL-15 Class I,,,,,,,,,,,,,,
HPS_DDR3_DQ[24],Unknown,,,,SSTL-15 Class I,,,,,,,,,,,,,,
HPS_DDR3_DQ[25],Unknown,,,,SSTL-15 Class I,,,,,,,,,,,,,,
HPS_DDR3_DQ[26],Unknown,,,,SSTL-15 Class I,,,,,,,,,,,,,,
HPS_DDR3_DQ[27],Unknown,,,,SSTL-15 Class I,,,,,,,,,,,,,,
HPS_DDR3_DQ[28],Unknown,,,,SSTL-15 Class I,,,,,,,,,,,,,,
HPS_DDR3_DQ[29],Unknown,,,,SSTL-15 Class I,,,,,,,,,,,,,,
HPS_DDR3_DQ[30],Unknown,,,,SSTL-15 Class I,,,,,,,,,,,,,,
HPS_DDR3_DQ[31],Unknown,,,,SSTL-15 Class I,,,,,,,,,,,,,,
HPS_DDR3_DQS_N[0],Unknown,,,,Differential 1.5-V SSTL Class I,,,,,HPS_DDR3_DQS_N[0](n),,,,,,,,,
HPS_DDR3_DQS_N[0](n),Unknown,,,,Differential 1.5-V SSTL Class I,,,,,HPS_DDR3_DQS_N[0],,,,,,,,,
HPS_DDR3_DQS_N[1],Unknown,,,,Differential 1.5-V SSTL Class I,,,,,HPS_DDR3_DQS_N[1](n),,,,,,,,,
HPS_DDR3_DQS_N[1](n),Unknown,,,,Differential 1.5-V SSTL Class I,,,,,HPS_DDR3_DQS_N[1],,,,,,,,,
HPS_DDR3_DQS_N[2],Unknown,,,,Differential 1.5-V SSTL Class I,,,,,HPS_DDR3_DQS_N[2](n),,,,,,,,,
HPS_DDR3_DQS_N[2](n),Unknown,,,,Differential 1.5-V SSTL Class I,,,,,HPS_DDR3_DQS_N[2],,,,,,,,,
HPS_DDR3_DQS_N[3],Unknown,,,,Differential 1.5-V SSTL Class I,,,,,HPS_DDR3_DQS_N[3](n),,,,,,,,,
HPS_DDR3_DQS_N[3](n),Unknown,,,,Differential 1.5-V SSTL Class I,,,,,HPS_DDR3_DQS_N[3],,,,,,,,,
HPS_DDR3_DQS_P[0],Unknown,,,,Differential 1.5-V SSTL Class I,,,,,HPS_DDR3_DQS_P[0](n),,,,,,,,,
HPS_DDR3_DQS_P[0](n),Unknown,,,,Differential 1.5-V SSTL Class I,,,,,HPS_DDR3_DQS_P[0],,,,,,,,,
HPS_DDR3_DQS_P[1],Unknown,,,,Differential 1.5-V SSTL Class I,,,,,HPS_DDR3_DQS_P[1](n),,,,,,,,,
HPS_DDR3_DQS_P[1](n),Unknown,,,,Differential 1.5-V SSTL Class I,,,,,HPS_DDR3_DQS_P[1],,,,,,,,,
HPS_DDR3_DQS_P[2],Unknown,,,,Differential 1.5-V SSTL Class I,,,,,HPS_DDR3_DQS_P[2](n),,,,,,,,,
HPS_DDR3_DQS_P[2](n),Unknown,,,,Differential 1.5-V SSTL Class I,,,,,HPS_DDR3_DQS_P[2],,,,,,,,,
HPS_DDR3_DQS_P[3],Unknown,,,,Differential 1.5-V SSTL Class I,,,,,HPS_DDR3_DQS_P[3](n),,,,,,,,,
HPS_DDR3_DQS_P[3](n),Unknown,,,,Differential 1.5-V SSTL Class I,,,,,HPS_DDR3_DQS_P[3],,,,,,,,,
HPS_DDR3_ODT,Unknown,,,,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,,
HPS_DDR3_RAS_N,Unknown,,,,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,,
HPS_DDR3_RESET_N,Unknown,,,,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,,
HPS_DDR3_RZQ,Unknown,,,,SSTL-15 Class I,,,,,,,,,,,,,,
HPS_DDR3_WE_N,Unknown,,,,SSTL-15 Class I,,Maximum Current,,,,,,,,,,,,
HPS_ENET_GTX_CLK,Unknown,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_ENET_INT_N,Unknown,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_ENET_MDC,Unknown,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_ENET_MDIO,Unknown,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_ENET_RX_CLK,Unknown,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_ENET_RX_DATA[0],Unknown,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_ENET_RX_DATA[1],Unknown,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_ENET_RX_DATA[2],Unknown,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_ENET_RX_DATA[3],Unknown,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_ENET_RX_DV,Unknown,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_ENET_TX_DATA[0],Unknown,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_ENET_TX_DATA[1],Unknown,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_ENET_TX_DATA[2],Unknown,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_ENET_TX_DATA[3],Unknown,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_ENET_TX_EN,Unknown,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_FLASH_DATA[0],Unknown,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_FLASH_DATA[1],Unknown,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_FLASH_DATA[2],Unknown,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_FLASH_DATA[3],Unknown,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_FLASH_DCLK,Unknown,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_FLASH_NCSO,Unknown,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_GSENSOR_INT,Unknown,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_I2C1_SCLK,Unknown,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_I2C1_SDAT,Unknown,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_I2C2_SCLK,Unknown,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_I2C2_SDAT,Unknown,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_I2C_CONTROL,Unknown,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_KEY,Unknown,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_LED,Unknown,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_LTC_GPIO,Unknown,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_SD_CLK,Unknown,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_SD_CMD,Unknown,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_SD_DATA[0],Unknown,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_SD_DATA[1],Unknown,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_SD_DATA[2],Unknown,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_SD_DATA[3],Unknown,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_SPIM_CLK,Unknown,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_SPIM_MISO,Unknown,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_SPIM_MOSI,Unknown,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_SPIM_SS,Unknown,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_UART_RX,Unknown,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_UART_TX,Unknown,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_USB_CLKOUT,Unknown,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_USB_DATA[0],Unknown,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_USB_DATA[1],Unknown,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_USB_DATA[2],Unknown,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_USB_DATA[3],Unknown,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_USB_DATA[4],Unknown,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_USB_DATA[5],Unknown,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_USB_DATA[6],Unknown,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_USB_DATA[7],Unknown,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_USB_DIR,Unknown,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_USB_NXT,Unknown,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_USB_STP,Unknown,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_GPIO[0],Unknown,,,,3.3-V LVTTL,,,,,,,,,,,,,,
HPS_GPIO[1],Unknown,,,,3.3-V LVTTL,,,,,,,,,,,,,,
